"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2425","User login with correct email and password","LMS system","Sat May 02 14:53:14 UTC 2026","passed","Sat May 02 14:53:16 UTC 2026","Authorization","Authentication","",""
"","1786","Check displaying of dashboard page","LMS system","Sat May 02 14:53:21 UTC 2026","passed","Sat May 02 14:53:22 UTC 2026","Dashboard","Dashboard","",""
"","1858","Attempt to login with email: user.name@gmail.com","LMS system","Sat May 02 14:53:12 UTC 2026","passed","Sat May 02 14:53:13 UTC 2026","Authorization","Authentication","",""
"","3576","Create course","LMS system","Sat May 02 14:53:19 UTC 2026","passed","Sat May 02 14:53:22 UTC 2026","Courses","Courses","",""
"","1744","Attempt to login with email:   ","LMS system","Sat May 02 14:53:12 UTC 2026","passed","Sat May 02 14:53:13 UTC 2026","Authorization","Authentication","",""
"","3207","Edit course","LMS system","Sat May 02 14:53:24 UTC 2026","passed","Sat May 02 14:53:27 UTC 2026","Courses","Courses","",""
"","1724","Registration with correct email, username and password","LMS system","Sat May 02 14:53:16 UTC 2026","passed","Sat May 02 14:53:17 UTC 2026","Registration","Authentication","",""
"","1276","Navigation from login page to registration page","LMS system","Sat May 02 14:53:17 UTC 2026","passed","Sat May 02 14:53:18 UTC 2026","Authorization","Authentication","",""
"","1404","Check displaying of empty courses list","LMS system","Sat May 02 14:53:19 UTC 2026","passed","Sat May 02 14:53:20 UTC 2026","Courses","Courses","",""
"","1521","Attempt to login with email: user.name@gmail.com","LMS system","Sat May 02 14:53:14 UTC 2026","passed","Sat May 02 14:53:15 UTC 2026","Authorization","Authentication","",""
